avatarThumbnail,cid,createTime,createTimeISO,diggCount,input,likedByAuthor,pinnedByAuthor,repliesToId,replyCommentTotal,submittedVideoUrl,text,uid,uniqueId,videoWebUrl
https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/5a0a8f13ec5f79c6019efc061cd034ee~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dedd8d79&x-expires=1749355200&x-signature=290kVNLnQxC6y%2BZo93kutaonkqA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.51289E+18,1749230492,2025-06-06T17:21:32.000Z,1,https://vt.tiktok.com/ZSkSfYCn8/,FALSE,FALSE,,0,https://vt.tiktok.com/ZSkSfYCn8/,save back azk,7.49467E+18,azka12544,https://www.tiktok.com/@yervant.jose/video/7509741898127461640
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/16ef7226cf4ed47c73f604e36bef3fc5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f6341647&x-expires=1749355200&x-signature=b7O5cGtGpCJ0wIJNQberl3XQttU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.51299E+18,1749254070,2025-06-06T23:54:30.000Z,1,https://vt.tiktok.com/ZSkSfYCn8/,FALSE,FALSE,,0,https://vt.tiktok.com/ZSkSfYCn8/,Please Dont 😭,7.19764E+18,dwi.mulyatika.roh,https://www.tiktok.com/@yervant.jose/video/7509741898127461640
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/fb57f55b86a4920f248b9abc3853a41e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6c2160e2&x-expires=1749355200&x-signature=0v3lI2aXQiDVhEYxO0w%2FytUjhns%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.51285E+18,1749221594,2025-06-06T14:53:14.000Z,0,https://vt.tiktok.com/ZSkSfYCn8/,FALSE,FALSE,,0,https://vt.tiktok.com/ZSkSfYCn8/,"I love you, you know, don't be with anyone else, and don't cheat on me, even though I'm sometimes indifferent and don't care about just reading your messages",7.49386E+18,riffat.r.nya.rege,https://www.tiktok.com/@yervant.jose/video/7509741898127461640
https://p16-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/41de92ab09ab9e19e99549e4a68607ee~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=41947955&x-expires=1749355200&x-signature=IMHGJ8phehunIazEoyIV2Tw7BjQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.51277E+18,1749203577,2025-06-06T09:52:57.000Z,0,https://vt.tiktok.com/ZSkSfYCn8/,FALSE,FALSE,,0,https://vt.tiktok.com/ZSkSfYCn8/,noooo🥺🥺,7.34724E+18,user81439653823342,https://www.tiktok.com/@yervant.jose/video/7509741898127461640
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/fb5b763b8ae6ec6bc7a0e36e64c96e60~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a6a82f64&x-expires=1749355200&x-signature=uNfe%2B7w2cWiSt2l0fLNri3Dev8w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.51277E+18,1749202278,2025-06-06T09:31:18.000Z,0,https://vt.tiktok.com/ZSkSfYCn8/,FALSE,FALSE,,0,https://vt.tiktok.com/ZSkSfYCn8/,ohh nooo,6.73724E+18,imcheylaa94,https://www.tiktok.com/@yervant.jose/video/7509741898127461640
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/9ab24ccc9aaef8991fd58f06da28c5c3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1de43da6&x-expires=1749355200&x-signature=uO5svt4ytXo47I%2FzBGRIHeRdJlQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.51272E+18,1749192373,2025-06-06T06:46:13.000Z,0,https://vt.tiktok.com/ZSkSfYCn8/,FALSE,FALSE,,0,https://vt.tiktok.com/ZSkSfYCn8/,w blm ksana😭😭😭 please save,6.79059E+18,fitri.merdiantika,https://www.tiktok.com/@yervant.jose/video/7509741898127461640
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/b017b10005dab7e4f4820744570b338a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8d155a8d&x-expires=1749355200&x-signature=b2uDiOTJ6NZSZcoltMJ%2F6ctuQTo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.51281E+18,1749213107,2025-06-06T12:31:47.000Z,0,https://vt.tiktok.com/ZSkSfYCn8/,FALSE,FALSE,,0,https://vt.tiktok.com/ZSkSfYCn8/,what the name song,6.96208E+18,mrpudidi347,https://www.tiktok.com/@yervant.jose/video/7509741898127461640
https://p16-common-sign-va.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9fb106bb&x-expires=1749355200&x-signature=9bsoeSJje4qnwXT3q4tvzBvDKy0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.51192E+18,1749005126,2025-06-04T02:45:26.000Z,12,https://vt.tiktok.com/ZSkSfYCn8/,FALSE,FALSE,,0,https://vt.tiktok.com/ZSkSfYCn8/,i'm really cry and feel sorry for papua..,7.46867E+18,user44623888,https://www.tiktok.com/@yervant.jose/video/7509741898127461640
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/a31f3462c5bb0f45a3b811848f9c5934~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f93b21b9&x-expires=1749355200&x-signature=9EjHs1qKCIf2rXfVXtBU47Q5ypo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.51208E+18,1749041396,2025-06-04T12:49:56.000Z,14067,https://vt.tiktok.com/ZSkSfYCn8/,FALSE,FALSE,,66,https://vt.tiktok.com/ZSkSfYCn8/,GUE BELOM KE RAJA AMPAT!! 🫵🏼😭😭 #SAVERAJAAMPAT,7.23635E+18,hi.linee,https://www.tiktok.com/@yervant.jose/video/7509741898127461640
https://p16-common-sign-va.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9fb106bb&x-expires=1749355200&x-signature=9bsoeSJje4qnwXT3q4tvzBvDKy0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7.5116E+18,1748929940,2025-06-03T05:52:20.000Z,21443,https://vt.tiktok.com/ZSkSfYCn8/,FALSE,FALSE,,32,https://vt.tiktok.com/ZSkSfYCn8/,"yang dipikirin cuma duit melulu ga mikirin alam, pdhl tuhan udh kasih alam se indh ini👌",7.41996E+18,n.fall19,https://www.tiktok.com/@yervant.jose/video/7509741898127461640
